,count,mean,std,min,25%,50%,75%,max,variance,missing,missing_percent,zeros_percent
PTGDS,76893.0,0.06057602245120817,0.3651920290366233,-2.03544201382217,-0.0016026842223617,0.0,0.0113201397612178,6.22678279258212,0.13336521807188592,0,0.0,20.03
GNLY,76893.0,0.6989855979391856,1.5505222044628957,-1.97334423561913,-0.0074378086045738,0.0195879348198366,0.225156384814146,8.54014883420295,2.4041191065324776,0,0.0,15.14
FCER1A,76893.0,0.03348257361666199,0.23584376656692316,-1.53177554314932,-0.0013136086732386,0.0,0.0037221126270209,3.8487245175818,0.05562228222847334,0,0.0,23.7
PF4,76893.0,0.008269386873541432,0.12476473628126637,-0.791608368504007,-0.0004875186477467,0.0,0.0046080417594905,4.68592319626972,0.015566239419333947,0,0.0,22.34
GZMB,76893.0,0.3167406179959977,0.8470420737771018,-1.49302981519883,-0.0050165368786584,0.0003540493961043,0.0272471736840998,4.59013665577963,0.7174802747486132,0,0.0,17.74
MZB1,76893.0,0.11056222153340176,0.36412897205122774,-1.11556200031086,0.0,0.0024813716220743,0.0258044429926613,3.87568828502235,0.1325899082870838,0,0.0,19.03
S100A9,76893.0,1.2690719594664446,1.659680886295656,-1.25434779036931,0.224949016816259,0.514218039005494,1.54135835685032,6.8848110456453,2.754540644335134,0,0.0,7.86
C1QB,76893.0,0.006817846886297278,0.12706458974688076,-1.61810505872948,-9.59300311591365e-05,0.0,0.0001358811561992,3.93910803998617,0.016145409967543115,0,0.0,33.68
C1QA,76893.0,0.01658314779462118,0.18953027687634252,-1.95643767612766,-0.0007852221309533,0.0,0.0003204259780296,3.80725559128425,0.03592172585282306,0,0.0,28.73
HLA-DRA,76893.0,1.4822711297532505,1.6801970805416093,-1.6833190884437,0.0,0.618112226153533,3.28443792999551,5.49649421039607,2.823062229460547,0,0.0,8.82
S100A8,76893.0,0.8331823207142898,1.4255899496880857,-1.16330517839355,0.0,0.197806573374547,0.924379143025301,6.61743020574147,2.032306704651679,0,0.0,10.86
CD74,76893.0,1.7337792201059594,1.5811155821232,-2.14049589286545,0.286604279488988,1.38727205653371,3.33072911734776,5.5098875563576,2.4999264840327853,0,0.0,6.17
GNG11,76893.0,0.011623894028366633,0.1227006165767089,-0.79289865177956,-0.0002422954871433,0.0,0.0047992787068701,3.95047455423028,0.015055441308304532,0,0.0,23.15
HLA-DPB1,76893.0,0.9970453794946955,1.1692871122025623,-2.04455063770591,0.0,0.743256199208326,2.07742998937978,4.86732090250105,1.3672323507630075,0,0.0,9.0
LYPD2,76893.0,0.030290925792748648,0.21886036973280867,-1.04679828537069,-0.0002126124708941,0.0,0.0011503294811776,4.47544783385591,0.04789986143958171,0,0.0,26.07
TUBB1,76893.0,0.00843531649203114,0.10988460895346297,-0.508646883558218,-0.000605995880089,0.0003294110574921,0.0065266630416811,3.5914101885412,0.012074627284855474,0,0.0,20.68
FCGR3A,76893.0,0.4928988271768919,0.9652436868005426,-1.16534116609806,0.0,0.0134669209551671,0.306915607174741,5.21654655700985,0.9316953749083041,0,0.0,14.43
LILRA4,76893.0,0.03445358766838265,0.23853371771561713,-0.371314194638898,-0.0002314697991443,6.07076841348472e-06,0.0070270551032385,3.29399760277261,0.056898334487233714,0,0.0,22.54
TXNDC5,76893.0,0.07061885411070588,0.1916847137463213,-0.449179195436597,0.0,0.0218743064603755,0.0629526147027507,2.72520214232606,0.036743029484009135,0,0.0,16.8
CLEC10A,76893.0,0.06226119211717457,0.29781801470162095,-0.848466247444209,-0.0005375051592267,0.0,0.005832889847382,3.9399636762116,0.08869556988081491,0,0.0,21.86
CCL4,76893.0,0.27292596448951584,0.697808010802924,-1.34141915961038,-0.0044237390645986,0.0021891385704375,0.0935501187403871,5.60345505052244,0.48693601994073366,0,0.0,17.54
CST3,76893.0,0.8750019487449857,1.3828084281749247,-1.34300550223196,0.0,0.0811698352488256,1.80121957267822,5.45677415672123,1.9121591490316057,0,0.0,11.41
ITM2C,76893.0,0.12312054621666219,0.41827177762528645,-1.11911132975982,-0.0120002039565294,0.0011224208526133,0.0595661614219676,4.2251600058429,0.1749512799578171,0,0.0,16.91
HLA-DPA1,76893.0,1.1045907589246238,1.2562955868330017,-1.46237657001751,0.0,0.693347240578618,2.33383844853669,4.81698611796746,1.5782786014960761,0,0.0,8.82
HLA-DQA1,76893.0,0.6718855663981956,1.0219209257097757,-1.54190908438431,0.0,0.0368861262283052,1.39854966006147,5.0364471689542,1.0443223784035247,0,0.0,12.13
LYZ,76893.0,1.2252214734013251,1.702253231530928,-1.62862427247009,0.0,0.382809369676784,1.82327557732498,6.11819871815178,2.8976660642574874,0,0.0,8.72
NKG7,76893.0,0.8065393510677737,1.4683012854622444,-1.02134432769862,-0.0056811614410137,0.0316754434497627,0.869397025917208,5.50128611316971,2.155908664890079,0,0.0,13.72
CDKN1C,76893.0,0.16101320934518035,0.5795451330344966,-0.837505622719723,-0.0005761024674429,0.0037981354526475,0.0231719949167017,4.87513636542207,0.3358725612239724,0,0.0,17.65
TCF4,76893.0,0.2582386919771551,0.5539058983674862,-0.591121837180294,0.0,0.0092211207556557,0.202171253844616,4.81671832794603,0.30681174424629193,0,0.0,15.63
TCL1A,76893.0,0.2228157345438194,0.7090116988551713,-2.24273233110673,-0.0033341039325013,0.0,0.013085649746034,4.87534534386248,0.5026975891134962,0,0.0,20.29
TPM2,76893.0,0.03039978114852891,0.21008242072114394,-0.355204485164712,-0.0015420054075587,0.0009018907739559,0.0136451105044693,4.12680862944213,0.04413462349605573,0,0.0,19.04
GP9,76893.0,0.0019206118508278017,0.05754921169190347,-1.19395877944144,-0.000230036578365,0.0,0.0001178747981549,3.25284178953292,0.003311911766359519,0,0.0,31.49
HLA-DRB1,76893.0,1.0916625819672174,1.2811330684844686,-1.56235317404965,0.0,0.385522694480039,2.3650166975979,5.17801260030862,1.64130193916443,0,0.0,9.3
MS4A1,76893.0,0.4636801649753631,1.0305429206523866,-1.02023410201597,-0.0018622307761674,0.005126392663859,0.0534680581876451,5.48334914731733,1.0620187113067512,0,0.0,16.42
CD79A,76893.0,0.44632918871897764,0.9439206582781601,-1.3257222110221,-0.0031458530753237,0.0106499249421976,0.0854320771516202,5.26421819016414,0.890986209124275,0,0.0,14.83
CCL5,76893.0,0.7568707503005421,1.3829991601389857,-2.17424961116383,-0.0221769812628773,0.0131076077567153,1.01371519999554,6.43417283590251,1.9126866769451396,0,0.0,14.67
PLD4,76893.0,0.10772962705314884,0.37877848144210574,-1.13965271782785,-0.0025914069439096,0.0,0.0249993511153883,4.29225014291301,0.14347313800358766,0,0.0,18.79
TYMS,76893.0,0.002893136236508212,0.05015231958442463,-0.588568730034263,-0.0003985458495004,0.0,0.0018403046130045,2.75524441764075,0.002515255159698262,0,0.0,23.74
CD1C,76893.0,0.06488977786800063,0.2785194376531389,-1.10935337527699,-0.0005636966929983,2.48911578018866e-05,0.0117462667732749,3.87135200994706,0.07757307715062073,0,0.0,21.59
SCT,76893.0,0.019006299538204572,0.18690217964061023,-0.344256479822164,0.0,0.0,0.0010776191994872,3.96922572888529,0.03493242475441094,0,0.0,27.67
GZMK,76893.0,0.20589239900621148,0.647881050502419,-1.39172043426747,-0.0025139471789555,0.0004821619627856,0.0283363822248292,4.62396226086347,0.4197498556001179,0,0.0,19.57
STMN1,76893.0,0.2049649570582265,0.4292769613589685,-1.11192890625428,0.0,0.0448545433353355,0.193185375990274,5.48017189286336,0.18427870955358933,0,0.0,14.71
MLLT11,76893.0,0.05782793350677774,0.22062352715733013,-0.783600414968054,0.0,0.017536237501672,0.0633215024954931,4.69660548970325,0.048674740735341185,0,0.0,16.95
DNASE1L3,76893.0,0.03131370020006787,0.20170323030664242,-0.490812799743035,0.0,3.28698351999741e-05,0.0032964222217337,3.75133659372018,0.040684193116134436,0,0.0,26.42
SERPINF1,76893.0,0.03041431506488295,0.20859945850441877,-0.617985470380843,-0.0005612880353549,0.0005411390748329,0.0103916044994736,3.1197332417138,0.043513734088336725,0,0.0,19.8
TNFRSF17,76893.0,0.026873772133949148,0.1446012654167382,-0.794908804352122,0.0,7.80405864906899e-05,0.0026468245369745,2.79721652738783,0.02090952596012197,0,0.0,24.05
GZMH,76893.0,0.3068267145102971,0.8087907370844568,-1.55733235760819,-0.002078733448937,0.0003162037241261,0.0224832355272054,5.13573051068389,0.654142456393619,0,0.0,19.13
